...Utils file loaded	
...running on CPU	
training model with metric = f1, learning rate = 0.200, K = 20, J = 10, threshold = 0.000, embedding size = 50	
Running LSTM model	
Epoch 150, loss  = 0.002, epsilon = 0.100, sum(y)/len(y) = 889/999, {Recall = 0.141088, Precision = 0.802849, F1 = 0.240000}, query = aurora	
Epoch 151, loss  = 0.001, epsilon = 0.100, sum(y)/len(y) = 912/999, {Recall = 0.137430, Precision = 0.800924, F1 = 0.234604}, query = aurora	
Epoch 152, loss  = 0.003, epsilon = 0.100, sum(y)/len(y) = 936/999, {Recall = 0.134087, Precision = 0.804005, F1 = 0.229842}, query = aurora	
Epoch 153, loss  = 0.002, epsilon = 0.100, sum(y)/len(y) = 931/999, {Recall = 0.134651, Precision = 0.805160, F1 = 0.230718}, query = aurora	
Epoch 154, loss  = 0.002, epsilon = 0.100, sum(y)/len(y) = 898/999, {Recall = 0.139300, Precision = 0.801309, F1 = 0.237340}, query = aurora	
Epoch 155, loss  = 0.002, epsilon = 0.100, sum(y)/len(y) = 891/999, {Recall = 0.140916, Precision = 0.802849, F1 = 0.239752}, query = aurora	
Epoch 156, loss  = 0.002, epsilon = 0.100, sum(y)/len(y) = 900/999, {Recall = 0.138625, Precision = 0.798229, F1 = 0.236226}, query = aurora	
Epoch 157, loss  = 0.002, epsilon = 0.100, sum(y)/len(y) = 859/999, {Recall = 0.145400, Precision = 0.798999, F1 = 0.246028}, query = aurora	
Epoch 158, loss  = 0.002, epsilon = 0.100, sum(y)/len(y) = 922/999, {Recall = 0.136028, Precision = 0.802079, F1 = 0.232607}, query = aurora	
Epoch 159, loss  = 0.002, epsilon = 0.100, sum(y)/len(y) = 910/999, {Recall = 0.137895, Precision = 0.802464, F1 = 0.235347}, query = aurora	
Epoch 160, loss  = 0.002, epsilon = 0.100, sum(y)/len(y) = 918/999, {Recall = 0.136545, Precision = 0.804390, F1 = 0.233460}, query = aurora	
Epoch 161, loss  = 0.002, epsilon = 0.100, sum(y)/len(y) = 926/999, {Recall = 0.135722, Precision = 0.806700, F1 = 0.232352}, query = aurora	
Epoch 162, loss  = 0.001, epsilon = 0.100, sum(y)/len(y) = 928/999, {Recall = 0.135426, Precision = 0.804005, F1 = 0.231807}, query = aurora	
Epoch 163, loss  = 0.002, epsilon = 0.100, sum(y)/len(y) = 913/999, {Recall = 0.137584, Precision = 0.805160, F1 = 0.235010}, query = aurora	
Epoch 164, loss  = 0.003, epsilon = 0.100, sum(y)/len(y) = 916/999, {Recall = 0.137354, Precision = 0.805930, F1 = 0.234707}, query = aurora	
Epoch 165, loss  = 0.002, epsilon = 0.100, sum(y)/len(y) = 923/999, {Recall = 0.135943, Precision = 0.802464, F1 = 0.232498}, query = aurora	
Epoch 166, loss  = 0.002, epsilon = 0.100, sum(y)/len(y) = 927/999, {Recall = 0.135371, Precision = 0.804775, F1 = 0.231759}, query = aurora	
Epoch 167, loss  = 0.002, epsilon = 0.100, sum(y)/len(y) = 913/999, {Recall = 0.136979, Precision = 0.802464, F1 = 0.234013}, query = aurora	
