epoch;epsilon;loss;rougeF1;rougeRecall;rougePrecision;actual;pred
87; 0.570; 0.000000; 0.555556; 0.714286; 0.454545; {min=-0.701, max=0.157}; {min=-0.723, max=0.365}
88; 0.565; 0.000000; 0.206897; 0.214286; 0.200000; {min=-1.000, max=0.249}; {min=-0.634, max=0.521}
89; 0.560; 0.000000; 0.625000; 0.714286; 0.555556; {min=-0.701, max=0.214}; {min=-0.670, max=0.073}
90; 0.555; 0.000000; 0.482759; 0.500000; 0.466667; {min=-1.000, max=0.249}; {min=-0.634, max=0.428}
91; 0.550; 0.000000; 0.424242; 0.500000; 0.368421; {min=-1.000, max=0.249}; {min=-0.634, max=0.428}
92; 0.545; 0.000000; 0.428571; 0.428571; 0.428571; {min=-0.701, max=0.157}; {min=-0.723, max=0.437}
93; 0.540; 0.000000; 0.482759; 0.500000; 0.466667; {min=-1.000, max=0.249}; {min=-0.634, max=0.428}
94; 0.535; 0.000000; 0.424242; 0.500000; 0.368421; {min=-1.000, max=0.249}; {min=-0.634, max=0.428}
95; 0.530; 0.000000; 0.482759; 0.500000; 0.466667; {min=-0.647, max=0.212}; {min=-0.788, max=0.336}
96; 0.525; 0.000000; 0.714286; 0.714286; 0.714286; {min=-0.647, max=0.247}; {min=-0.634, max=0.126}
97; 0.520; 0.000000; 0.482759; 0.500000; 0.466667; {min=-0.647, max=0.212}; {min=-0.788, max=0.336}
98; 0.515; 0.000000; 0.555556; 0.714286; 0.454545; {min=-0.701, max=0.157}; {min=-0.723, max=0.365}
99; 0.510; 0.000000; 0.444444; 0.285714; 1.000000; {min=-1.000, max=0.444}; {min=-0.634, max=0.148}
100; 0.505; 0.000000; 0.424242; 0.500000; 0.368421; {min=-1.000, max=0.249}; {min=-0.634, max=0.428}
101; 0.500; 0.064432; 0.714286; 0.714286; 0.714286; {min=-0.701, max=0.214}; {min=-0.670, max=0.073}
102; 0.495; 0.031393; 0.625000; 0.714286; 0.555556; {min=-0.701, max=0.214}; {min=-0.547, max=0.220}
103; 0.490; 0.105317; 0.428571; 0.428571; 0.428571; {min=-0.647, max=0.198}; {min=-0.525, max=0.315}
104; 0.485; 0.055222; 0.482759; 0.500000; 0.466667; {min=-0.647, max=0.212}; {min=-0.488, max=0.380}
105; 0.480; 0.113527; 0.307692; 0.285714; 0.333333; {min=-1.000, max=0.319}; {min=-0.427, max=0.357}
106; 0.475; 0.078271; 0.424242; 0.500000; 0.368421; {min=-0.701, max=0.196}; {min=-0.514, max=0.418}
107; 0.470; 0.038761; 0.428571; 0.428571; 0.428571; {min=-0.701, max=0.214}; {min=-0.478, max=0.154}
108; 0.465; 0.085104; 0.307692; 0.285714; 0.333333; {min=-1.000, max=0.319}; {min=-0.482, max=0.219}
109; 0.460; 0.074323; 0.600000; 0.428571; 1.000000; {min=-0.647, max=0.247}; {min=-0.526, max=0.176}
110; 0.455; 0.077537; 0.560000; 0.500000; 0.636364; {min=-0.647, max=0.251}; {min=-0.511, max=0.065}
111; 0.450; 0.110932; 0.285714; 0.214286; 0.428571; {min=-1.000, max=0.353}; {min=-0.479, max=0.135}
112; 0.445; 0.032085; 0.625000; 0.714286; 0.555556; {min=-0.647, max=0.198}; {min=-0.516, max=0.263}
113; 0.440; 0.062390; 0.714286; 0.714286; 0.714286; {min=-0.647, max=0.247}; {min=-0.510, max=0.282}
114; 0.435; 0.101909; 0.560000; 0.500000; 0.636364; {min=-0.647, max=0.251}; {min=-0.507, max=0.123}
115; 0.430; 0.068198; 0.600000; 0.428571; 1.000000; {min=-0.647, max=0.247}; {min=-0.496, max=0.311}
116; 0.425; 0.077762; 0.500000; 0.428571; 0.600000; {min=-0.647, max=0.247}; {min=-0.503, max=0.280}
117; 0.420; 0.063191; 0.833333; 0.714286; 1.000000; {min=-0.647, max=0.247}; {min=-0.505, max=0.276}
118; 0.415; 0.042556; 0.600000; 0.428571; 1.000000; {min=-0.647, max=0.247}; {min=-0.506, max=0.273}
119; 0.410; 0.052345; 0.285714; 0.214286; 0.428571; {min=-0.647, max=0.000}; {min=-0.506, max=0.100}
120; 0.405; 0.066512; 0.500000; 0.428571; 0.600000; {min=-0.647, max=0.247}; {min=-0.495, max=0.258}
